gap_id,category,jip_id,feature,current_status,gap_classification,priority,phase_owner,notes
GAP-100,alignment,JIP-300,直線,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-101,alignment,JIP-301,円弧,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-102,alignment,JIP-302,クロソイド,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-103,alignment,JIP-303,平行線,IMPLEMENTED(Offset),GAP_JIP_PARTIAL,medium,current,Offsetのみ直角平行不足
GAP-104,alignment,JIP-305,拡幅(1次),PARTIAL_DEFINITION_ONLY,GAP_JIP_PARTIAL,high,implement,曲線橋必須
GAP-105,alignment,JIP-306,拡幅(4次),ABSENT,GAP_JIP_PARTIAL,high,implement,
GAP-106,alignment,JIP-108,接続/分岐,ABSENT,GAP_JIP_MISSING,high,phase8,ランプ橋前提
GAP-107,alignment,REQUIRED,複数線形,IMPLEMENTED,GAP_DONE,0,parity,done
GAP-108,alignment,UEFUX,要素入力方式,数値入力中心,GAP_MODERNIZE,medium,phase56,GUI直接編集
GAP-200,station,JIP-400,累加/No.表記,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-201,station,JIP-401,測点有効範囲,equation規定のみ,GAP_JIP_PARTIAL,high,phase8,ランプ/ブレーキ
GAP-300,profile,JIP-500,縦断PH,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-301,profile,JIP-501,横断GR,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-302,profile,JIP-502,断面高W/WG,ZMerge,GAP_JIP_PARTIAL,high,implement,WG(G)高さ無
GAP-303,profile,JIP-503,断面高WA,ZMerge,GAP_JIP_PARTIAL,medium,current,
GAP-304,profile,JIP-504,断面高WB,ZMerge,GAP_JIP_PARTIAL,medium,current,
GAP-400,bridge,JIP-600,ピア 距離/測点,IMPLEMENTED,GAP_JIP_PARTIAL,high,implement,9方式中2のみ
GAP-401,bridge,JIP-601,ピア 2点/平行/角度,ABSENT,GAP_JIP_MISSING,medium,implement,
GAP-402,bridge,JIP-602,ピア斜角,IMPLEMENTED,GAP_DONE,low,parity,done
GAP-403,bridge,JIP-700,スパン簡易入力,SpanDraft,GAP_JIP_PARTIAL,high,implement,参照ピア間隔UI
GAP-404,bridge,JIP-701,セクションS 設定,CrossBeam,GAP_JIP_PARTIAL,high,implement,S×G 格点
