case_id,quantity_id,formula_id,formula_expression,theory_source_description,input_parameters,derivation_checksum,derivation_path,approval_status
AG-ASYM-RC,M_AT_LOAD,ASYM_M_LOAD,P*a*(L-a)/L,Classical static equilibrium for off-center point load on simply-supported beam (package-contained derivation).,"{""L"": ""6/1"", ""P"": ""12/1"", ""a"": ""2/1""}",82ae9ac0fc6014c356faa20d80801dcc67783a893b579685df98094b9e435901,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-ASYM-RC,N_LEFT_FY,ASYM_R_LEFT,P*(L-a)/L,Classical static equilibrium for off-center point load on simply-supported beam (package-contained derivation).,"{""L"": ""6/1"", ""P"": ""12/1"", ""a"": ""2/1""}",4f8fda43c5ed80262f5ac8ee18f40e391a05e95b416e2f70ff6c342f71fe8b79,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-ASYM-RC,N_RIGHT_FY,ASYM_R_RIGHT,P*a/L,Classical static equilibrium for off-center point load on simply-supported beam (package-contained derivation).,"{""L"": ""6/1"", ""P"": ""12/1"", ""a"": ""2/1""}",ffa8f1eabe164af713b37b17814d1052f1cfe9e43f1872bce3cb9a2b1515f0fa,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-AXIAL,N1_FX,AXIAL_FX_REACTION,-F,Classical uniform bar axial Hooke-law elongation delta=F*L/(E*A) with global equilibrium (package-contained derivation; linear elastic prismatic idealization).,"{""F"": ""50/1""}",3fda74c9f600b3ccfa445a9a0555aaaf07ebe11c08aab314463a4c5c33fa62e1,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-AXIAL,N2_UX,AXIAL_DX,F*L/(E*A),Classical uniform bar axial Hooke-law elongation delta=F*L/(E*A) with global equilibrium (package-contained derivation; linear elastic prismatic idealization).,"{""A"": ""1/50"", ""E"": ""205000000/1"", ""F"": ""50/1"", ""L"": ""4/1""}",7cd69cf19c33bc1b27e8e514a89a3e73ed0c0652e2e610834c1c2c81e2cd0251,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N1_FY,CANT_TIP_FY,P,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""P"": ""10/1""}",a7cc6ed2354d5a1cdc1617cdbea7470199ece00d7503e143f76771abe3203a05,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N1_MZ,CANT_TIP_MZ,P*L,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""L"": ""4/1"", ""P"": ""10/1""}",201c128eebc8baa7af73cfa66f9453c98b0a3d06838bb333128b83ea7d2755e0,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N2_RZ,CANT_TIP_RZ,-P*L^2/(2*E*I),Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""P"": ""10/1""}",089563a5cc6d53c664630a9a9910203f4a80543d47915be0fba1b16bd2aa6cfd,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N2_UY,CANT_TIP_UY,-P*L^3/(3*E*I),Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""P"": ""10/1""}",345b37f47b891d8623e819ffd72072ae17adb32793e3297c89599f0cf6cb8a15,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-LC-LIN,COMB_FY,LC_COMBINED_REACTION,f1*q1+f2*q2,"Synthetic linear superposition fixture (EA-02 package coefficient, not DS-04 adopted combination rule): combined = f1*q1 + f2*q2 with explicit rational factors.","{""f1"": ""1/1"", ""f2"": ""3/5"", ""q1"": ""10/1"", ""q2"": ""5/1""}",177bee2785246ba3ad6c41e41b1513fd002146d083af5a7dffa66cc7b50a723e,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M1_MZ_I,SS_CENTER_MZ_ZERO,0,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,{},2f37e7a5250909a0f6f7ea210dc2f44fa29c29daf1d22e518efec0d89d06e0b8,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M1_MZ_J,SS_CENTER_MZ_MIDSPAN,P*L/4,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""L"": ""4/1"", ""P"": ""10/1""}",662608f6c228d6867c0456b505b200627aa634ae4e42f9e176d2b0ad99fe0bf7,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M2_MZ_I,SS_CENTER_MZ_MIDSPAN,P*L/4,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""L"": ""4/1"", ""P"": ""10/1""}",011ae142e4eeda11289fce180b4176479242f6ad7e2b8dade4b835e793b9bbd3,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M2_MZ_J,SS_CENTER_MZ_ZERO,0,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,{},bdff5fc447df1bbd5000f290b533a61e0a595677f77893d35bc8788a35df0d55,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,N1_FY,SS_CENTER_FY_LEFT,P/2,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""P"": ""10/1""}",2f40d48055b366e4d1a69c8d04e06d7973709d83c0cd523fa10fe8925ce5df2f,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
