input_id,screen,component,field_type,domain_owner,direct_input,japanese_ime,uppercase,lowercase,fullwidth,halfwidth,composition_policy,normalization_policy,history_policy,dirty_policy,persistence,import_export,automated_test,electron_test,verdict,evidence
apollo-project-id-input,apollo-project-shell,ApolloPhase1Shell,text,apollo-metadata,yes,not-yet,yes,yes,rejected-by-future-readonly,rejected-by-future-readonly,pre-unit3-immediate-commit,none-yet,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1065"
apollo-project-name-input,apollo-project-shell,ApolloPhase1Shell,text,apollo-metadata,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,preserve-raw,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1076"
apollo-project-description-input,apollo-project-shell,ApolloPhase1Shell,textarea,apollo-metadata,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,preserve-raw,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1086"
apollo-node-id-input,apollo-node-editor,ApolloPhase1Shell,text,apollo-node,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,trim-on-duplicate-check-only,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1246"
apollo-node-label-input,apollo-node-editor,ApolloPhase1Shell,text,apollo-node,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,preserve-raw,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1247"
apollo-node-x-input,apollo-node-editor,ApolloPhase1Shell,numeric-text,apollo-node,yes,not-yet,n/a,n/a,no,no,pre-unit3-immediate-commit,Number-onChange-reject-invalid,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1248"
apollo-member-id-input,apollo-member-editor,ApolloPhase1Shell,text,apollo-member,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,trim-on-duplicate-check-only,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1290"
apollo-member-label-input,apollo-member-editor,ApolloPhase1Shell,text,apollo-member,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,preserve-raw,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1291"
apollo-support-id-input,apollo-support-editor,ApolloPhase1Shell,text,apollo-support,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,trim-on-duplicate-check-only,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1337"
apollo-support-label-input,apollo-support-editor,ApolloPhase1Shell,text,apollo-support,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,preserve-raw,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1339"
apollo-material-id-input,apollo-material-editor,ApolloPhase1Shell,text,apollo-material,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,trim-on-duplicate-check-only,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1380"
apollo-material-name-input,apollo-material-editor,ApolloPhase1Shell,text,apollo-material,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,preserve-raw,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1381"
apollo-material-category-input,apollo-material-editor,ApolloPhase1Shell,text,apollo-material,yes,not-yet,yes,yes,yes,yes,pre-unit3-immediate-commit,preserve-raw,none-yet,write-only-boolean-current,file-and-workspace,current-roundtrip-only,existing-only,pending,baseline-needs-change,"frontend/src/apollo/ApolloPhase1Shell.tsx:1382"
apollo-search-query,planned-unit3-search,TBD,search,apollo-search,planned,planned,yes,yes,yes,yes,defer-until-composition-end,comparison-only-trim-nfkc-lower,history-excluded,dirty-excluded,session-only,must-not-affect-persistence,planned,planned,planned,"Unit 3 requirement"
apollo-search-type-filter,planned-unit3-search,TBD,filter,apollo-search,planned,n/a,case-insensitive-exact,case-insensitive-exact,n/a,n/a,n/a,comparison-only-trim-nfkc-lower,history-excluded,dirty-excluded,session-only,must-not-affect-persistence,planned,planned,planned,"Unit 3 requirement"
apollo-bulk-edit-input,planned-unit3-bulk,TBD,text,apollo-bulk-edit,planned,planned,yes,yes,yes,yes,defer-until-composition-end,preserve-raw,one-transaction-on-apply,derived-from-baseline,file-and-workspace,must-roundtrip,planned,planned,planned,"Unit 3 requirement"
apollo-validation-filter,planned-unit3-validation,TBD,search,apollo-validation,planned,planned,yes,yes,yes,yes,defer-until-composition-end,comparison-only-trim-nfkc-lower,history-excluded,dirty-excluded,session-only,must-not-affect-persistence,planned,planned,planned,"Unit 3 requirement"
